"","idacr","obsid","leader","startdate","enddate","entry","noexit","gender","duration","Rstart","num","length","years"
"1","AFG","AFG-1879-1","Mohammad Ya`qub Khan","1879-02-21","1879-10-12","Regular",12,"M",0.64010989010989,"1868-09-08",2,4051,11.0986301369863
"2","AFG","AFG-1879-1","Mohammad Ya`qub Khan","1879-02-21","1879-10-12","Regular",12,"M",0.64010989010989,"1879-02-21",3,233,0.638356164383562
"3","AFG","AFG-1879-2","Mohammad Jan","1879-10-12","1880-03-31","Foreign Imposition",NA,"M",0.46978021978022,"1879-02-21",4,404,1.10684931506849
"4","AFG","AFG-1880","Abdor Rahman Khan","1880-07-22","1901-10-03","Foreign Imposition",NA,"M",21.2692383368946,"1879-10-12",5,8026.00275462963,21.9890486428209
"5","AFG","AFG-1901","Habibullah Khan","1901-10-03","1919-02-20","Regular",NA,"M",17.4423076923077,"1880-07-22",6,14091.0027546296,38.6054869989853
"6","AFG","AFG-1920","Amanullah Khan","1920-01-01","1929-01-14","Irregular",NA,"M",9.06868131868132,"1901-10-03",7,9965,27.3013698630137
"7","AFG","AFG-1929-1","Inayatullah Khan","1929-01-14","1929-01-17","Regular",7,"M",0.00824175824175824,"1920-01-01",8,3304,9.05205479452055
"8","AFG","AFG-1929-1","Inayatullah Khan","1929-01-14","1929-01-17","Regular",7,"M",0.00824175824175824,"1929-01-14",9,3,0.00821917808219178
"9","AFG","AFG-1929-2","Habibullah Ghazi","1929-01-17","1929-10-17","Irregular",7,"M",0.75,"1929-01-14",10,276,0.756164383561644
"10","AFG","AFG-1929-2","Habibullah Ghazi","1929-01-17","1929-10-17","Irregular",7,"M",0.75,"1929-01-17",11,273,0.747945205479452
"11","AFG","AFG-1929-3","Nadir Shah","1929-10-17","1933-11-08","Irregular",NA,"M",4.07417582417582,"1929-01-17",12,1756,4.81095890410959
"12","AFG","AFG-1933","Hashim Khan","1933-11-08","1946-05-14","Regular",NA,"M",12.5548305860806,"1929-10-17",13,6052.95833333333,16.5834474885845
"13","AFG","AFG-1946","Mahmud Khan Ghazi","1946-05-14","1953-09-07","Regular",5,"M",7.34340659340659,"1933-11-08",14,7242.95833333333,19.8437214611872
"14","AFG","AFG-1946","Mahmud Khan Ghazi","1946-05-14","1953-09-07","Regular",5,"M",7.34340659340659,"1946-05-14",15,2673,7.32328767123288
"15","AFG","AFG-1953","Sardar Mohammad Daud Khan","1953-09-07","1963-03-10","Irregular",NA,"M",9.53582875457876,"1946-05-14",16,6144.04166666667,16.8329908675799
"16","AFG","AFG-1963","Mohammad Yusuf","1963-03-10","1965-11-02","Regular",NA,"M",2.65934065934066,"1953-09-07",17,4439.04166666667,12.1617579908676
"17","AFG","AFG-1965","Mohammad Hashim Maiwandwal","1965-11-02","1967-10-11","Regular",NA,"M",1.94494047619048,"1963-03-10",18,1675.95833333333,4.59166666666667
"18","AFG","AFG-1967-1","Abdallah Yakta","1967-10-11","1967-11-01","Regular",NA,"M",0.0578067765567766,"1965-11-02",19,729,1.9972602739726
"19","AFG","AFG-1967-2","Nur Ahmad Etemadi","1967-11-01","1971-06-09","Regular",NA,"M",3.61527014652015,"1967-10-11",20,1337,3.66301369863014
"20","AFG","AFG-1971","Abdul Zahir","1971-06-09","1972-12-06","Regular",NA,"M",1.50011446886447,"1967-11-01",21,1862,5.1013698630137
"21","AFG","AFG-1972","Mohammad Musa Shafiq","1972-12-12","1973-07-17","Regular",1,"M",0.596039377289377,"1971-06-09",22,769,2.10684931506849
"22","AFG","AFG-1972","Mohammad Musa Shafiq","1972-12-12","1973-07-17","Regular",1,"M",0.596039377289377,"1972-12-12",23,216.958333333333,0.594406392694064
"23","AFG","AFG-1973","Sardar Mohammad Daud Khan","1973-07-17","1978-04-27","Irregular",1,"M",4.79407051282051,"1972-12-12",24,1962,5.37534246575343
"24","AFG","AFG-1973","Sardar Mohammad Daud Khan","1973-07-17","1978-04-27","Irregular",1,"M",4.79407051282051,"1973-07-17",25,1745.04166666667,4.78093607305936
"25","AFG","AFG-1978","Taraki","1978-04-30","1979-03-27","Irregular",5,"M",0.909340659340659,"1973-07-17",26,2079.04166666667,5.69600456621005
"26","AFG","AFG-1978","Taraki","1978-04-30","1979-03-27","Irregular",5,"M",0.909340659340659,"1978-04-30",27,331,0.906849315068493
"27","AFG","AFG-1979-1","Amin","1979-03-27","1979-12-27","Irregular",4,"M",0.755494505494505,"1978-04-30",28,606,1.66027397260274
"28","AFG","AFG-1979-1","Amin","1979-03-27","1979-12-27","Irregular",4,"M",0.755494505494505,"1979-03-27",29,275,0.753424657534247
"29","AFG","AFG-1979-2","Karmal","1979-12-27","1986-05-04","Irregular",8,"M",6.3735119047619,"1979-03-27",30,2594.95833333333,7.10947488584475
"30","AFG","AFG-1979-2","Karmal","1979-12-27","1986-05-04","Irregular",8,"M",6.3735119047619,"1979-12-27",31,2319.95833333333,6.3560502283105
"31","AFG","AFG-1986","Najibullah","1986-05-04","1992-04-16","Irregular",7,"M",5.97252747252747,"1979-12-27",32,4493.95833333333,12.3122146118721
"32","AFG","AFG-1986","Najibullah","1986-05-04","1992-04-16","Irregular",7,"M",5.97252747252747,"1986-05-04",33,2174,5.95616438356164
"33","AFG","AFG-1992-1","Mojadidi","1992-04-28","1992-06-28","Irregular",NA,"M",0.167582417582418,"1986-05-04",34,2247,6.15616438356164
"34","AFG","AFG-1992-2","Burhanuddin Rabbani","1992-06-28","1996-09-27","Regular",7,"M",4.26373626373626,"1992-04-28",35,1613,4.41917808219178
"35","AFG","AFG-1992-2","Burhanuddin Rabbani","1992-06-28","1996-09-27","Regular",7,"M",4.26373626373626,"1992-06-28",36,1552,4.25205479452055
"36","AFG","AFG-1996","Mullah Omar","1996-09-27","2001-11-13","Irregular",6,"M",5.14571886446886,"1992-06-28",37,3425.04166666667,9.38367579908676
"37","AFG","AFG-1996","Mullah Omar","1996-09-27","2001-11-13","Irregular",6,"M",5.14571886446886,"1996-09-27",38,1873.04166666667,5.13162100456621
"38","AFG","AFG-2001","Hamid Karzai","2001-12-22","2014-09-29","Foreign Imposition",NA,"M",12.8130723443223,"1996-09-27",39,6576,18.0164383561644
"39","AFG","AFG-2014","Ahmadzai","2014-09-29","2015-12-31","Regular",10,"M",1.25835622710623,"2001-12-22",40,5122,14.0328767123288
"40","AFG","AFG-2014","Ahmadzai","2014-09-29","2015-12-31","Regular",10,"M",1.25835622710623,"2014-09-29",41,458.041666666667,1.25490867579909
